Titulo,Año de estreno - Año finalización,Generos
Black Clover,2017–2021,"Animation, Action, Adventure"
Raya y el último dragón,2021,"Animation, Action, Adventure"
Encantada,2007,"Animation, Adventure, Comedy"
Bluey,2018– ,"Animation, Family"
Harley Quinn,2019– ,"Animation, Action, Adventure"
El increíble castillo vagabundo,2004,"Animation, Adventure, Family"
Batman: La serie animada,1992–1995,"Animation, Action, Adventure"
Your Name.,2016,"Animation, Drama, Fantasy"
Intensa Mente,I) (2015,"Animation, Adventure, Comedy"
Belle,2021,"Animation, Adventure, Drama"
Coco,I) (2017,"Animation, Adventure, Comedy"
Buscando a Nemo,2003,"Animation, Adventure, Comedy"
¿Quién engañó a Roger Rabbit?,1988,"Animation, Adventure, Comedy"
Monstermanía,2021,"Animation, Comedy, Family"
Recursos Humanos,2022– ,"Animation, Comedy, Romance"
Cómo entrenar a tu dragón,2010,"Animation, Action, Adventure"
Enredados,2010,"Animation, Adventure, Comedy"
Los increíbles,2004,"Animation, Action, Adventure"
Hotel Transylvania 4: Transformanía,2022,"Animation, Adventure, Comedy"
Hércules,1997,"Animation, Adventure, Comedy"
Boruto: Naruto Next Generations,2017– ,"Animation, Action, Adventure"
Dragon Ball Z,1989–2003,"Animation, Action, Adventure"
Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,2019– ,"Animation, Comedy, Romance"
Soul,2020,"Animation, Adventure, Comedy"
Bleach,2004–2012,"Animation, Action, Adventure"
Castlevania,2017–2021,"Animation, Action, Adventure"
"Monsters, Inc.",2001,"Animation, Adventure, Comedy"
Bichos: una aventura en miniatura,1998,"Animation, Adventure, Comedy"
Star Wars: The Bad Batch,2021– ,"Animation, Action, Adventure"
The Boys: Diabolical,2022– ,"Animation, Short, Action"
Toy Story 4,2019,"Animation, Adventure, Comedy"
La familia Mitchell vs. las máquinas,2021,"Animation, Adventure, Comedy"
One Punch Man,2015–2019,"Animation, Action, Comedy"
Grandes héroes,2014,"Animation, Action, Adventure"
La leyenda de Korra,2012–2014,"Animation, Action, Adventure"
Catwoman: Cazado,2022,"Animation, Action, Crime"
WALL·E,2008,"Animation, Adventure, Family"
Los Locos Addams 2,2021,"Animation, Adventure, Comedy"
Un Show Más,2009–2017,"Animation, Action, Adventure"
High School DxD,2012–2018,"Animation, Action, Comedy"
Kung Fu Panda,2008,"Animation, Action, Adventure"
Coraline y la puerta secreta,2009,"Animation, Drama, Family"
La bella y la bestia,1991,"Animation, Family, Fantasy"
Untitled Super Mario Project,2023,"Animation, Adventure, Comedy"
Aladdín,1992,"Animation, Adventure, Comedy"
La tumba de las luciérnagas,1988,"Animation, Drama, War"
Rango,2011,"Animation, Action, Adventure"
Kenpû Denki Berserk,1997–1998,"Animation, Action, Adventure"
Trabajo incógnito,2021– ,"Animation, Comedy, Fantasy"
Mi villano favorito,2010,"Animation, Adventure, Comedy"
Shrek 2,2004,"Animation, Adventure, Comedy"
Star Trek: Lower Decks,2020– ,"Animation, Action, Adventure"
La sirenita,1989,"Animation, Adventure, Comedy"
Las locuras del emperador,2000,"Animation, Adventure, Comedy"
Lilo y Stitch,2002,"Animation, Adventure, Comedy"
Cowboy Bebop,1998–1999,"Animation, Action, Adventure"
Buscando a Dory,2016,"Animation, Adventure, Comedy"
El cadáver de la novia,2005,"Animation, Drama, Family"
Puffins Impossible,2021– ,Animation
Sono Bisque Doll wa Koi wo Suru,2022– ,"Animation, Comedy, Romance"
Ponyo y el secreto de la sirenita,2008,"Animation, Adventure, Comedy"
Los increíbles 2,2018,"Animation, Action, Adventure"
Kung Fu Panda 3,2016,"Animation, Action, Adventure"
Tate no Yuusha no Nariagari,2019– ,"Animation, Action, Adventure"
The Great North,2021– ,"Animation, Comedy"
Frozen 2,2019,"Animation, Adventure, Comedy"
Toy Story 3,2010,"Animation, Adventure, Comedy"
La princesa Mononoke,1997,"Animation, Action, Adventure"
Los padrinos mágicos,2001–2017,"Animation, Adventure, Comedy"
Pokémon,1997– ,"Animation, Action, Adventure"
DC Showcase: Constantine - The House of Mystery,2022 Video,"Animation, Fantasy, Horror"
Space Jam 2: Una Nueva Era,2021,"Animation, Adventure, Comedy"
Vinland Saga,2019– ,"Animation, Action, Adventure"
Mulan,1998,"Animation, Adventure, Comedy"
El fantástico Sr. Zorro,2009,"Animation, Adventure, Comedy"
Isla de perros,2018,"Animation, Adventure, Comedy"
"Komi-san wa, Komyushou Desu.",2021– ,"Animation, Comedy, Drama"
Atlantis: El imperio perdido,2001,"Animation, Action, Adventure"
LEGO Batman: La película,2017,"Animation, Action, Adventure"
Tom y Jerry: la película,2021,"Animation, Adventure, Comedy"
Tokyo Revengers,2021– ,"Animation, Action, Drama"
Monster,2004–2010,"Animation, Crime, Drama"
Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure"
Neon Genesis Evangelion,1995–1996,"Animation, Action, Drama"
Valiente,2012,"Animation, Adventure, Comedy"
La era del hielo,2002,"Animation, Adventure, Comedy"
Gintama,2005–2018,"Animation, Action, Comedy"
Madagascar,2005,"Animation, Adventure, Comedy"
Jurassic World: Campamento Cretácico,2020–2022,"Animation, Action, Adventure"
La gran aventura Lego,2014,"Animation, Action, Adventure"
Code Geass: Lelouch of the Rebellion,2006–2012,"Animation, Action, Drama"
Paw Patrol: La película,2021,"Animation, Adventure, Comedy"
Ron Da Error,2021,"Animation, Adventure, Comedy"
(Des)encanto,2018– ,"Animation, Action, Adventure"
El príncipe de Egipto,1998,"Animation, Adventure, Drama"
The Boondocks,2005–2014,"Animation, Action, Comedy"
Pinocchio,2022,"Animation, Drama, Family"
La fiesta de las salchichas,2016,"Animation, Adventure, Comedy"
Final Space,2018–2021,"Animation, Action, Adventure"
Pico de Azúcar,2012,"Animation, Adventure, Comedy"
Happy Feet: El pingüino,2006,"Animation, Adventure, Comedy"
Cars 3,2017,"Animation, Adventure, Comedy"
Haikyuu!!,2014–2020,"Animation, Comedy, Drama"
Cars 2,2011,"Animation, Adventure, Comedy"
I Am Groot,2022– ,"Animation, Short, Action"
Solar Opposites,2020– ,"Animation, Comedy, Sci-Fi"
Akira,1988,"Animation, Action, Drama"
Tarzán,1999,"Animation, Adventure, Comedy"
Megamente,2010,"Animation, Action, Comedy"
Steven Universe,2013–2020,"Animation, Short, Action"
La princesa y el sapo,2009,"Animation, Adventure, Comedy"
Toy Story 2,1999,"Animation, Adventure, Comedy"
El gigante de hierro,1999,"Animation, Action, Adventure"
Mad God,2021,"Animation, Fantasy, Horror"
Un Jefe En Pañales 2: Negocios De Familia,2021,"Animation, Adventure, Comedy"
Cómo entrenar a tu dragón 3,2019,"Animation, Action, Adventure"
Fiebre del azúcar en línea,2018,"Animation, Adventure, Comedy"
Sonic the Hedgehog 3,,"Animation, Action, Adventure"
El Increíble Mundo de Gumball,2011–2019,"Animation, Short, Adventure"
Trolls 2 Wolrd Tour,2020,"Animation, Adventure, Comedy"
Close Enough,2020– ,"Animation, Action, Adventure"
Perfect Blue,1997,"Animation, Crime, Drama"
Unidos,I) (2020,"Animation, Adventure, Comedy"
The Wheel of Time: Origins,2021– ,"Animation, Drama, Fantasy"
Un jefe en pañales: De vuelta en la cuna,2022– ,"Animation, Adventure, Comedy"
Una voz silenciosa: Koe No Katachi,2016,"Animation, Drama"
Una mirada a la oscuridad,2006,"Animation, Comedy, Crime"
El planeta del tesoro,2002,"Animation, Adventure, Family"
Duncanville,2020– ,"Animation, Comedy"
Mi vecino Totoro,1988,"Animation, Comedy, Family"
Apolo 10 1/2: Una infancia espacial,2022,"Animation, Adventure, Drama"
Minions,2015,"Animation, Adventure, Comedy"
Demon Slayer: Mugen Train La Película,2020,"Animation, Action, Adventure"
Cómo entrenar a tu dragón 2,2014,"Animation, Action, Adventure"
Los Croods 2: Una nueva era,2020,"Animation, Adventure, Comedy"
Phineas y Ferb,2007–2015,"Animation, Short, Action"
X-Men,1992–1997,"Animation, Action, Family"
Lluvia de Hamburguesas,2009,"Animation, Adventure, Comedy"
Nueve,I) (2009,"Animation, Action, Adventure"
Los Guardianes de la justicia,2022– ,"Animation, Action, Adventure"
The Loud House,2015– ,"Animation, Short, Adventure"
Fútbol Cavernícola,2018,"Animation, Adventure, Comedy"
Monsters University,2013,"Animation, Adventure, Comedy"
Tokyo Ghoul,2014,"Animation, Action, Drama"
Smiling Friends,2020– ,"Animation, Short, Comedy"
Patrulla de cachorros,2013– ,"Animation, Adventure, Comedy"
Baki,2018–2020,"Animation, Action, Drama"
Mob Psycho 100,2016– ,"Animation, Action, Comedy"
Gato con botas: El último deseo,2022,"Animation, Adventure, Comedy"
La casa,III) (2022,"Animation, Comedy, Drama"
Space Jam: El juego del siglo,1996,"Animation, Adventure, Comedy"
Nanatsu no taizai,2014–2021,"Animation, Action, Adventure"
Dragon Ball Super,2015–2018,"Animation, Action, Adventure"
Steins;Gate,2011–2015,"Animation, Comedy, Drama"
Sword Art Online,2012– ,"Animation, Action, Adventure"
Strange World,2022,"Animation, Action, Adventure"
Vivo,I) (2021,"Animation, Adventure, Comedy"
Shrek 3ro,2007,"Animation, Adventure, Comedy"
El libro de la selva,1967,"Animation, Adventure, Comedy"
Ben 10,2005–2008,"Animation, Action, Adventure"
El extraño mundo de Jack,1993,"Animation, Family, Fantasy"
Rio,2011,"Animation, Adventure, Comedy"
Kung Fu Panda 2,2011,"Animation, Action, Adventure"
Dragon Ball,1986–1989,"Animation, Action, Adventure"
Pollo Robot,2001– ,"Animation, Short, Adventure"
Injustice,2021,"Animation, Action, Adventure"
La vida secreta de tus mascotas,2016,"Animation, Adventure, Comedy"
Peppa,2004– ,"Animation, Adventure, Comedy"
PatoAventuras,2017–2021,"Animation, Action, Adventure"
Puffins,,"Animation, Short"
Universo en fantasía,1981,"Animation, Adventure, Fantasy"
Mushoku-tensei ~Isekai ittara honki dasu~,2021– ,"Animation, Action, Adventure"
Pocahontas,I) (1995,"Animation, Adventure, Drama"
Titanes del Pacífico: Tierra de nadie,2021–2022,"Animation, Action, Adventure"
The Promised Neverland,2019–2021,"Animation, Action, Adventure"
Samurai Jack,2001–2017,"Animation, Action, Adventure"
Animalia en Australia,2021,"Animation, Adventure, Comedy"
Baymax!,2022– ,"Animation, Action, Adventure"
Teen Titans,2003–2006,"Animation, Action, Adventure"
"Beowulf, la leyenda",2007,"Animation, Action, Adventure"
Home: No hay lugar como el hogar,II) (2015,"Animation, Adventure, Comedy"
Fairy Tail: Fearî teiru,2009–2019,"Animation, Action, Adventure"
Alvin y las ardillas,2007,"Animation, Adventure, Comedy"
Re: Zero kara hajimeru isekai seikatsu,2016– ,"Animation, Adventure, Drama"
Más allá del jardín,2014,"Animation, Short, Adventure"
Hotel Transylvania,2012,"Animation, Comedy, Family"
Flee: Huyendo De Casa,2021,"Documentary, Animation, Biography"
Mi villano favorito 2,2013,"Animation, Adventure, Comedy"
The Ice Age Adventures of Buck Wild,2022,"Animation, Adventure, Comedy"
Ôsama Ranking,2021– ,"Animation, Adventure, Comedy"
Super Dragon Ball Heroes,2018– ,"Animation, Action, Adventure"
Ghost in the Shell,1995,"Animation, Action, Crime"
Blanca Nieves y los Siete Enanos,1937,"Animation, Adventure, Family"
Trolls,2016,"Animation, Adventure, Comedy"
Star Trek: Prodigy,2021– ,"Animation, Action, Adventure"
El jorobado de Notre Dame,1996,"Animation, Drama, Family"
Anastasia,1997,"Animation, Adventure, Drama"
Dragon Ball Super: Super Hero,2022,"Animation, Action, Adventure"
Bee Movie: La historia de una abeja,2007,"Animation, Adventure, Comedy"
El camino hacia El Dorado,2000,"Animation, Adventure, Comedy"
Un gran dinosaurio,2015,"Animation, Adventure, Comedy"
Robots,2005,"Animation, Adventure, Comedy"
Fruits Basket,2019–2021,"Animation, Comedy, Drama"
Shrek 4: para siempre,2010,"Animation, Adventure, Comedy"
Peter Pan,1953,"Animation, Adventure, Family"
Un jefe en pañales,2017,"Animation, Adventure, Comedy"
Bolt: Un perro fuera de serie,2008,"Animation, Adventure, Comedy"
F is for Family,2015–2021,"Animation, Comedy, Drama"
Shark Tale,2004,"Animation, Adventure, Comedy"
¡Scooby!,2020,"Animation, Adventure, Comedy"
Pinocchio: A True Story,2021,"Animation, Family, Fantasy"
El perro samurai: La leyenda de Kakamucho,2022,"Animation, Action, Comedy"
Robin Hood,1973,"Animation, Adventure, Comedy"
La familia del futuro,2007,"Animation, Adventure, Comedy"
Las aventuras de Tintín - El secreto del Unicornio,2011,"Animation, Action, Adventure"
Pie Pequeño en busca del valle encantado,1988,"Animation, Adventure, Drama"
Boku dake ga inai machi,2016,"Animation, Drama, Fantasy"
Los Croods,2013,"Animation, Adventure, Comedy"
"Goofy, la película",1995,"Animation, Adventure, Comedy"
Helluva Boss,2019– ,"Animation, Comedy, Crime"
My Little Pony: Nueva generación,2021,"Animation, Adventure, Comedy"
"Olé, el viaje de Ferdinand",2017,"Animation, Adventure, Comedy"
Dinosaurio,2000,"Animation, Adventure, Drama"
Vecinos invasores,2006,"Animation, Adventure, Comedy"
The Dragon Prince,2018– ,"Animation, Action, Adventure"
Quan Zhi Fa Shi,2016– ,Animation
FernGully: Las aventuras de Zak y Crysta,1992,"Animation, Adventure, Family"
Sama Taimu Renda,2022– ,"Animation, Drama, Mystery"
Corazón De Fuego,2022,"Animation, Adventure, Comedy"
Los Jóvenes Titanes en Acción,2013– ,"Animation, Short, Action"
El tiempo contigo,2019,"Animation, Drama, Fantasy"
Pollitos en fuga,2000,"Animation, Adventure, Comedy"
La cenicienta,1950,"Animation, Family, Fantasy"
Ghost in the Shell SAC_2045,2020– ,"Animation, Action, Crime"
Jim y el durazno gigante,1996,"Animation, Adventure, Family"
El Hombre Araña,1994–1998,"Animation, Action, Adventure"
Monster house - La casa de los sustos,2006,"Animation, Comedy, Family"
Mi villano favorito 3,2017,"Animation, Adventure, Comedy"
El tren infinito,I) (2019–2021,"Animation, Action, Adventure"
Star Wars: Visions,2021– ,"Animation, Action, Adventure"
She-Ra y las princesas del poder,2018–2020,"Animation, Action, Adventure"
That Time I Got Reincarnated as a Slime,2018– ,"Animation, Action, Adventure"
"Bob Esponja, la película",2004,"Animation, Adventure, Comedy"
Assassination Classroom,2013–2016,"Animation, Action, Comedy"
Los aristogatos,1970,"Animation, Adventure, Comedy"
Blade Runner: Black Lotus,2021– ,"Animation, Action, Drama"
Beruseruku,2016–2017,"Animation, Action, Adventure"
Ninjago,2019– ,"Animation, Action, Adventure"
Central Park,2020– ,"Animation, Comedy, Musical"
El libro de la vida,2014,"Animation, Adventure, Comedy"
Star vs. las fuerzas del mal,2015–2019,"Animation, Short, Action"
Kimetsu no Yaiba: Tsuzumi Yashiki Hen,2021,"Animation, Action, Fantasy"
Devilman: Crybaby,2018,"Animation, Action, Drama"
Teenage Mutant Ninja Turtles,2012–2017,"Animation, Action, Adventure"
Los locos Addams,2019,"Animation, Comedy, Family"
Primal,2019– ,"Animation, Action, Adventure"
Food Wars: Shokugeki no Soma,2015– ,"Animation, Comedy, Drama"
Beavis & Butt-Head,1993–2022,"Animation, Comedy, Music"
Antz: Hormiguitaz,1998,"Animation, Adventure, Comedy"
Fire Force,2019– ,"Animation, Action, Drama"
Lo que el agua se llevó,2006,"Animation, Action, Adventure"
Kiki entregas a domicilio,1989,"Animation, Family, Fantasy"
Shigatsu wa kimi no uso,2014–2015,"Animation, Drama, Music"
Amos del Universo: Revelación,2021– ,"Animation, Action, Adventure"
Osmosis Jones,2001,"Animation, Action, Adventure"
"¡Scooby Doo, dónde estás!",1969–1970,"Animation, Adventure, Comedy"
La noche de las narices frías,1961,"Animation, Adventure, Comedy"
El castillo en el cielo,1986,"Animation, Adventure, Family"
M.O.D.O.K.,2021,"Animation, Action, Comedy"
Alicia en el país de las maravillas,1951,"Animation, Adventure, Comedy"
Kingdom,2012– ,"Animation, Action, Drama"
A Christmas Story Christmas,2022,"Animation, Comedy, Drama"
Ninjago: Masters of Spinjitzu,2011–2019,"Animation, Action, Adventure"
Chicken Little,2005,"Animation, Adventure, Comedy"
El Lórax en busca de la trúfula perdida,2012,"Animation, Adventure, Comedy"
Batman,2004–2008,"Animation, Action, Adventure"
La era de hielo 5: choque de mundos,2016,"Animation, Adventure, Comedy"
The Amazing Maurice,2022,"Animation, Family"
Parasyte,2014–2015,"Animation, Action, Drama"
Guerreros del viento,1984,"Animation, Adventure, Sci-Fi"
Kawaii dake ja nai Shikimori-san,2022– ,"Animation, Comedy, Drama"
The Witcher: La pesadilla del lobo,2021,"Animation, Action, Adventure"
Wendell and Wild,2022,"Animation, Comedy, Family"
Oliver & Company,1988,"Animation, Adventure, Comedy"
Horton y el mundo de los Quién,2008,"Animation, Adventure, Comedy"
The Spine of Night,2021,"Animation, Action, Adventure"
Hotel Transylvania 3: Monstruos de vacaciones,2018,"Animation, Adventure, Comedy"
Dokutaa Sutoon,2019– ,"Animation, Action, Adventure"
Justice League Unlimited,2004–2006,"Animation, Action, Adventure"
Aqua Teen Hunger Force,2000–2015,"Animation, Comedy"
La bella durmiente,1959,"Animation, Adventure, Family"
Big City Greens,2018– ,"Animation, Adventure, Comedy"
Violet Evergarden,2018,"Animation, Drama, Fantasy"
El dragón de la tetera,2021,"Animation, Adventure, Comedy"
La liga de la justicia,2001–2004,"Animation, Action, Adventure"
Los pingüinos de Madagascar: La película,2014,"Animation, Adventure, Comedy"
Ben 10: Omniverse,2012–2014,"Animation, Action, Adventure"
El reino secreto,2013,"Animation, Action, Adventure"
Kim Possible,2002–2007,"Animation, Action, Adventure"
Spellbound,2022,"Animation, Adventure, Comedy"
The Venture Bros.,2003–2018,"Animation, Action, Adventure"
Tomodachi Game,2022– ,"Animation, Mystery, Thriller"
My Hero Academia: World Heroes' Mission,2021,"Animation, Action, Adventure"
Emoji: La película,2017,"Animation, Adventure, Comedy"
Scooby-Doo! Mystery Incorporated,2010–2013,"Animation, Adventure, Comedy"
Misterios animales,2022– ,"Animation, Action, Adventure"
Tierra de osos,2003,"Animation, Adventure, Comedy"
My Little Pony: Friendship Is Magic,2010–2020,"Animation, Adventure, Comedy"
El tostadorcito valiente,1987,"Animation, Adventure, Family"
Kakegurui,2017– ,"Animation, Drama, Mystery"
El rey león 2: El reino de Simba,1998 Video,"Animation, Adventure, Comedy"
Sonic Prime,2022– ,"Animation, Action, Adventure"
86,2021– ,"Animation, Action, Drama"
Los reyes de las olas,2007,"Animation, Adventure, Comedy"
Spidey y sus sorprendentes amigos,2021– ,"Animation, Action, Adventure"
Los Simpsons - La película,2007,"Animation, Adventure, Comedy"
La familia Proud: Mayor y mejor,2022– ,"Animation, Adventure, Comedy"
Dota: Sangre de dragón,2021– ,"Animation, Action, Adventure"
Daria,1997–2001,"Animation, Comedy, Drama"
Overlord,2015– ,"Animation, Action, Adventure"
Se levanta el viento,2013,"Animation, Biography, Drama"
Monstruos vs. Aliens,2009,"Animation, Action, Adventure"
Pinocho,1940,"Animation, Adventure, Comedy"
Meitantei Conan,1996– ,"Animation, Action, Comedy"
Papurika,2006,"Animation, Drama, Fantasy"
El zorro y el sabueso,1981,"Animation, Adventure, Drama"
La casa de Mickey Mouse,2006–2016,"Animation, Adventure, Comedy"
Sonic Boom,2014–2017,"Animation, Short, Action"
The Midnight Gospel,2020– ,"Animation, Adventure, Comedy"
La gran aventura LEGO 2,2019,"Animation, Action, Adventure"
Thomas the Tank Engine & Friends,1984–2021,"Animation, Short, Adventure"
Star Wars: Clone Wars,2003–2005,"Animation, Action, Adventure"
Angry Birds: La película,2016,"Animation, Action, Adventure"
La era de hielo 4,2012,"Animation, Adventure, Comedy"
Hagane no renkinjutsushi,2003–2004,"Animation, Action, Adventure"
Ben 10: Ultimate Alien,2010–2012,"Animation, Action, Adventure"
Velma,,"Animation, Adventure, Comedy"
Aventuras en pañales,1991–2006,"Animation, Adventure, Comedy"
Batman del futuro,1999–2001,"Animation, Action, Adventure"
Halo: The Fall of Reach,2015,"Animation, Action, Adventure"
Me quiero comer tu páncreas,2018,"Animation, Drama, Family"
Hit-Monkey,2021– ,"Animation, Action, Adventure"
"Lyle, Lyle, Crocodile",2022,"Animation, Adventure, Comedy"
Bungou Stray Dogs,2016– ,"Animation, Action, Comedy"
La Liga de la Justicia Oscura: Guerra en Apokolips,2020 Video,"Animation, Action, Adventure"
Gato con botas,2011,"Animation, Adventure, Comedy"
Black Lagoon,2006,"Animation, Action, Adventure"
Klaus,2019,"Animation, Adventure, Comedy"
Los Pitufos,2011,"Animation, Adventure, Comedy"
Chainsaw Man,2022– ,"Animation, Action, Adventure"
Green Eggs and Ham,2019– ,"Animation, Adventure, Comedy"
The End of Evangelion,1997,"Animation, Action, Drama"
Conejo samurái: Las crónicas de Usagi,2022– ,"Animation, Action, Adventure"
Pulgarcita,1994,"Animation, Adventure, Family"
"Coraje, el perro cobarde",1999–2002,"Animation, Adventure, Comedy"
Madagascar 3: Los fugitivos,2012,"Animation, Adventure, Comedy"
Los Vengadores unidos,2012–2019,"Animation, Action, Adventure"
Turbo,2013,"Animation, Adventure, Comedy"
Tengen toppa gurren lagann,2007–2008,"Animation, Action, Adventure"
Llamadas,2021– ,"Animation, Drama, Horror"
El origen de los guardianes,2012,"Animation, Action, Adventure"
Looney Tunes: De nuevo en acción,2003,"Animation, Adventure, Comedy"
Bernardo y Bianca,1977,"Animation, Adventure, Comedy"
Madagascar 2,2008,"Animation, Adventure, Comedy"
Bob Esponja: Al rescate,2020,"Animation, Adventure, Comedy"
Akame ga Kill!,2014,"Animation, Action, Adventure"
ARK: The Animated Series,2022– ,"Animation, Action, Adventure"
Despertando a la vida,2001,"Animation, Drama, Fantasy"
Go-Toubun no Hanayome,2019– ,"Animation, Comedy, Drama"
Hazbin Hotel,2019– ,"Animation, Comedy, Crime"
Las Tortugas Ninja,1987–1996,"Animation, Action, Adventure"
Chicken Run: Dawn of the Nugget,2023,"Animation, Adventure, Comedy"
Samurai Champloo,2004–2005,"Animation, Action, Adventure"
Star Wars: La guerra de los clones,2008,"Animation, Action, Adventure"
Sangre de Zeus,2020– ,"Animation, Action, Adventure"
Sonic X,2003–2006,"Animation, Action, Adventure"
"Batman: The Long Halloween, Part One",2021,"Animation, Action, Crime"
Made in Abyss,2017– ,"Animation, Action, Adventure"
La vida secreta de tus mascotas 2,2019,"Animation, Adventure, Comedy"
El Expreso Polar,2004,"Animation, Adventure, Comedy"
The Cleveland Show,2009–2013,"Animation, Adventure, Comedy"
Q-Force,2021– ,"Animation, Action, Adventure"
Wolfwalkers. Espíritu de lobo,2020,"Animation, Adventure, Family"
Erufen rîto,2004,"Animation, Action, Drama"
Spirit: El corcel indomable,2002,"Animation, Adventure, Drama"
Mundo Cool,1992,"Animation, Comedy, Fantasy"
Princesita Sofía,2012–2018,"Animation, Adventure, Family"
La ratoncita valiente,1982,"Animation, Adventure, Drama"
Arrietty y el mundo de los diminutos,2010,"Animation, Adventure, Drama"
Todos los perros van al cielo,1989,"Animation, Adventure, Comedy"
Highschool of the Dead,2010,"Animation, Action, Drama"
Kôkaku kidôtai SAC_2045 Jizoku kanô sensô,2021,"Animation, Sci-Fi"
Garfield,2004,"Animation, Adventure, Comedy"
Las aventuras de Peabody y Sherman,2014,"Animation, Adventure, Comedy"
Los guerreros de fuego,1983,"Animation, Adventure, Fantasy"
Los Picapiedra,1960–1966,"Animation, Adventure, Comedy"
Alvin y las Ardillas 2,2009,"Animation, Adventure, Comedy"
Dororo,2019,"Animation, Action, Adventure"
Monsters at Work,2021– ,"Animation, Adventure, Comedy"
DARLING in the FRANXX,2018,"Animation, Action, Drama"
Horimiya,I) (2021– ,"Animation, Comedy, Drama"
Beastars,2019– ,"Animation, Crime, Drama"
Bernardo y Bianca en Cangurolandia,1990,"Animation, Adventure, Comedy"
Rascal Does Not Dream of Bunny Girl Senpai,2018– ,"Animation, Drama, Fantasy"
Ultimate Spider-Man,2012–2017,"Animation, Action, Adventure"
Resident Evil: La tiniebla infinita,2021– ,"Animation, Action, Horror"
Mira: la detective del reino,2020–2022,"Animation, Short, Adventure"
Espías a escondidas,2019,"Animation, Action, Adventure"
¡El show de Cuphead!,2022– ,"Animation, Short, Action"
Porco Rosso,1992,"Animation, Adventure, Comedy"
Más allá de la Luna,2020,"Animation, Adventure, Comedy"
La era de hielo 3,2009,"Animation, Adventure, Comedy"
El guardián de las palabras,1994,"Animation, Adventure, Comedy"
Aviones,2013,"Animation, Adventure, Comedy"
Army of the Dead: Lost Vegas,2022– ,"Animation, Action, Crime"
"Kanojo, Okarishimasu",2020– ,"Animation, Comedy, Romance"
Las chicas superpoderosas,1998–2007,"Animation, Action, Adventure"
Un cuento americano,1986,"Animation, Adventure, Comedy"
Paradise PD,2018– ,"Animation, Action, Comedy"
La dama y el vagabundo,1955,"Animation, Adventure, Comedy"
Kuroko no basuke,2012–2015,"Animation, Comedy, Sport"
Gremlins: Secrets of the Mogwai,2022– ,"Animation, Adventure, Comedy"
"South Park: Más grande, más larga y sin censura",1999,"Animation, Comedy, Fantasy"
Psycho-Pass,2012– ,"Animation, Action, Crime"
Wallace y Gromit - La maldición de los vegetales,2005,"Animation, Adventure, Comedy"
Las nuevas aventuras de Batman,1997–1999,"Animation, Action, Adventure"
Angry Birds 2: la película,2019,"Animation, Action, Adventure"
Batman: La broma mortal,2016,"Animation, Action, Crime"
Hotel Transylvania 2,2015,"Animation, Adventure, Comedy"
"Gárgolas, héroes góticos",1994–1996,"Animation, Action, Adventure"
Kubo y la búsqueda samurái,2016,"Animation, Action, Adventure"
Doctor Strange en el multiverso de la locura,2022,"Action, Adventure, Fantasy"
El Hombre Del Norte,2022,"Action, Adventure, Drama"
Everything Everywhere All at Once,2022,"Action, Adventure, Comedy"
She-Hulk: Attorney at Law,2022– ,"Action, Adventure, Comedy"
Halo,2022– ,"Action, Adventure, Sci-Fi"
La Ciudad Perdida,2022,"Action, Adventure, Comedy"
Morbius,2022,"Action, Adventure, Horror"
"Love, Death & Robots",2019– ,"Animation, Short, Action"
Chip y Dale: Al rescate,2022,"Animation, Adventure, Comedy"
Avatar: The Way of Water,2022,"Action, Adventure, Sci-Fi"
Moon Knight,2022,"Action, Adventure, Fantasy"
Star Trek: Strange New Worlds,2022– ,"Action, Adventure, Sci-Fi"
Game of Thrones,2011–2019,"Action, Adventure, Drama"
Uncharted: Fuera del Mapa,2022,"Action, Adventure"
Obi-Wan Kenobi,2022,"Action, Adventure, Sci-Fi"
Animales Fantásticos: Los Secretos de Dumbledore,2022,"Action, Adventure, Fantasy"
Los Tipos Malos,2022,"Animation, Adventure, Comedy"
Doctor Strange: hechicero supremo,2016,"Action, Adventure, Fantasy"
Night Sky,2022– ,"Adventure, Drama, Fantasy"
Spider-Man: sin camino a casa,2021,"Action, Adventure, Fantasy"
Ghostbusters: El Legado,2021,"Adventure, Comedy, Fantasy"
Thor: amor y trueno,2022,"Action, Adventure, Fantasy"
Aquaman,2018,"Action, Adventure, Fantasy"
The Wilds,2020– ,"Adventure, Drama, Mystery"
Doctor Who,2005– ,"Adventure, Drama, Sci-Fi"
Sonic 2: La Película,2022,"Action, Adventure, Comedy"
House of the Dragon,2022– ,"Action, Adventure, Drama"
The Umbrella Academy,2019– ,"Action, Adventure, Comedy"
Jurassic World Dominio,2022,"Action, Adventure, Sci-Fi"
Avatar,2009,"Action, Adventure, Fantasy"
Duna,2021,"Action, Adventure, Drama"
Star Trek: Picard,2020– ,"Action, Adventure, Drama"
Vikingos,2013–2020,"Action, Adventure, Drama"
Flash,2014– ,"Action, Adventure, Drama"
One Piece: Wan pîsu,1999– ,"Animation, Action, Adventure"
Piratas del Caribe - La maldición del Perla Negra,2003,"Action, Adventure, Fantasy"
Attack on Titan,2013–2023,"Animation, Action, Adventure"
Nuestra Bandera de Muerte,2022– ,"Action, Adventure, Biography"
